sample	T-cells	B-cells	Treg	Macrophages	Th1 cells	CD45	Exhausted CD8	DC	Cytotoxic cells	NK CD56dim cells	Neutrophils	Mast cells	NK cells	CD8 T cells	igA_Bcells	igG_Bcells	igMD_Bcells
BA2782R	2.822850064	1.5645934212222223	-0.078273267999999993	5.151362643	1.590498557	9.775393541	4.064273256	1.433051233	3.0629446241	-0.37082651800000005	6.468813301571429	2.941772743	0.12534337966666667	2.0718910335	7.382888444000001	6.59373148575	5.8801164145
BA2649R	4.632969426	1.2005916195555557	-0.912408647	1.337987726	2.633728787	7.766140738	3.42897220575	-5.06940152	4.7213881898	-2.201394785333333	4.8742209302857145	5.0318249356	1.3103256743333334	3.3298371745	-1.8159405124999999	5.56023388075	5.005226215
BA2592R	4.622401549166667	1.154971632222222	1.756346932	3.20096498725	4.584783696	8.083355706	4.8682081225000005	1.070285281	5.7807603392	-0.8035634739999998	6.037880753857142	1.5492567022000001	3.702455303333333	5.476968254999999	7.144007993000001	7.3522024872500005	9.3090884825
BA2861R	3.4570474476666666	0.8665779108888888	-0.783198133	4.67766211925	0.643937104	8.914208044	3.50300781525	-0.254367735	3.6692137867	-1.6541859170000002	6.125636185285714	2.5929151538	-0.45190156333333337	1.84181713	6.448517793500001	4.902190902	5.329436944999999
BA2134R	1.8549508576666667	1.552036064888889	-1.917754605	5.453025039	0.978643048	9.880795646	4.25434589575	1.014003384	3.0611772368	-1.9957332776666665	7.535022669428572	4.3141385186	-1.1341224256666667	2.7988146905	6.8203381595	5.8242785035	6.5143509135
BA2909R	4.244117016333333	2.578747128222222	0.543509631	3.17208919325	3.11996568	9.657350108	4.157582773	-3.840241823	4.1380767578	-1.2252116853333332	8.374780112142856	8.386304666000001	1.030768702	4.2486166965	9.364979295	8.02795835525	7.9474477085
BA2429R	7.5111299615	4.7946483749999995	1.555068977	1.693285032	8.199752108	9.865872654	6.85450102175	-5.383165045	8.2719613505	3.7069047889999998	6.087993005714286	3.1808723718	4.102499319666666	8.319603981	8.296274519499999	7.3435917645	7.638422471
BA2653R	5.3684583165	3.4281826315555555	2.094390664	2.51528935375	4.023714494	9.097774392	3.3459431165	-4.135089305	5.7631053023	0.7430537313333333	7.855908099285714	2.046154162	2.2131668216666665	4.162140426	8.971315065	7.4272726135	8.3195951035
BA2947R	4.806978512	2.128874239111111	-0.610774085	1.1557437515000002	1.929655182	7.977204557	4.299536964	-3.018968201	2.98774453	-1.657037266	4.8721633807142855	9.257829799	0.7582615283333334	3.857201398	5.1741870425	3.5273981982500002	6.432133075
BA2032R	2.647558914166667	-0.5448143876666667	0.164060104	1.313966212	1.321131818	8.875016452	3.9993409415	-3.380599967	3.7429560425	0.9869400536666667	0.13630305099999998	3.5183558518	1.673601025	1.839075126	1.309259803	0.5174072064999999	7.261068846000001
BA2162R	4.451536618333334	0.8334242957777779	1.234438027	3.0083422195000002	4.153072039	9.059424502	5.24950115025	-0.367952017	5.0589556907999995	-0.5352053663333333	7.4074527201428575	8.7576048754	1.0257168336666667	4.6940635545	5.884003663	4.79935651825	7.4295703379999996
BA2564R	3.974342022	1.811982253	0.591805791	5.177933571	2.034823448	8.901036966	3.8476373219999997	1.864594923	3.5474718696	-1.164268439	7.474439143714286	5.7012259456	1.7325412063333334	3.1910532959999998	7.980862604	6.3679634075	6.3793457945
BA2597R	3.2921440791666665	-0.5172031574444445	0.172276062	0.6163078580000001	4.254517902	8.425060111	4.5197672225000005	-4.334287879	4.5985946946	0.9243951953333334	3.9838532465714285	3.599220525	2.966009903	4.1301997775	3.37050902	2.1181811255	3.0945419960000002
BA3243R	3.73677533	0.9348328766666667	0.090491183	2.728538602	2.489141671	8.595292507	5.2846550075	-2.178809639	3.5845085404	-0.4960820646666666	4.930298798571429	3.9984878832	0.5717198176666666	2.6453673574999996	4.702283296	2.662126903	7.5903468830000005
BA2106R	2.4213497718333334	1.716124928	0.415402243	1.617205448	1.020893321	8.587249596	5.1794038245000005	-3.246948185	2.8409275476999998	0.08878741500000001	1.5253821891428572	4.7015041402	-0.2039690373333333	1.7824209880000002	4.573880809	3.687128773	7.2440727945
BA2939R	2.9160312963333332	0.9253056397777779	-0.909110191	2.200336652	2.33674034	8.849414988	5.65700691025	-3.422944933	4.5584729766	0.5042317563333334	2.9361216505714287	4.579718776	1.446982105	2.7033889675	1.9311694615	-0.20198563375	7.781299173999999
BA2427R	5.8703808215	3.690745204666667	2.665472463	4.089602549	5.13768843	8.568653031	4.88889424725	-0.783198133	5.3925649943	1.4514369306666666	5.010420680571428	4.0579910494	2.6560442193333333	5.664036901999999	7.855169158499999	6.1581275175000005	8.269005665
BA2841R	4.5832449665	2.1277086426666667	0.049361829	1.81240057475	4.169832717	7.424155462	4.7971078035	-1.183186756	4.8529199123	0.8958700796666667	5.401963797285714	3.6563820276	1.3946492966666666	4.6240803615	8.437210362	7.825759349	7.135293204
BA2446R	3.9660212836666666	0.24611637811111112	-0.985898598	3.463675243	2.785699147	9.110867463	4.15500752075	-1.934277071	4.349937699	-1.1842042873333334	6.360747065428571	1.8179512726	0.895654701	4.617156917	6.2425151165	4.5744008560000005	3.658412655
BA2025R	3.417091258666667	-0.6862726803333333	0.257995289	3.02228890425	3.773414292	9.431585154	4.1824910407499996	-2.113199232	4.6803193438	-0.970204314	4.025918071857143	0.9934088922000001	0.43222216700000005	4.074347017	3.4376038165	2.58082634675	2.514241628
BA2645R	5.281658080666666	1.459506962222222	1.73867619	3.7735271394999996	5.308150832	7.964220795	5.3506075895	-0.68144834	5.1858250176	0.9241567903333334	4.045830227428572	8.6165687204	2.490170256	4.5802259515	7.3080443335	7.0492124405	5.54894059
BA2525R	8.052047718833334	3.692408619888889	4.288888101	1.09443947025	8.681062866	9.549455874	6.2037280655	-3.182204701	7.9032368898000005	3.4490361703333337	3.0689556181428572	5.7217608018	4.274336595	8.100637273499999	10.013052794	7.419362571	8.934432675
